Carimbo de data/hora	Qual sua idade?	Frequenta a sede do CEG com que frequência?	Se não frequenta, qual o motivo?	Há quantos anos ingressou no clube?	Você fez CBM	Dentro do montanhismo com o que você mais se identifica?	Quanto à ESCALADA, você:	Quanto à CAMINHADA, você:	Qual o grau de conhecimento técnico que você tem no momento?	Quantas vezes você escala por mês, em média?	Quantas vezes você pratica caminhada em montanha por mês, em média?	Diga um motivo para você escolher o CEG como seu clube preferencial, caso isso seja verdade.
11/08/2023 18:24:56	41	Menos de 1 vez por mês	Moro longe, Trabalho, Preguiça, Só tem chato, Não vendem mais Heineken	> 20 anos	No CEG	Escalada urbana	Guia de forma independente	Guia de forma independente	Guia certificado	3	0	Amigos
11/08/2023 18:25:28	50	Duas vezes ou mais por mês	Estou estudando para concursos.	< 2 anos	Em outro clube	Trilhas moderadas	Só participa	Só participa	Curso básico de montanhismo	1	1	A animação e o alto astral. 
11/08/2023 18:25:30	68	Menos de 1 vez por mês	Moro longe	> 20 anos	No CEG	Trilhas de todos os tipos e escaladas keves. Tambem atividades de reflorestamento e  manejo de trilhas	Guia de forma independente	Guia de forma independente	Guia certificado	1	10	Foi o clube em que eu comecei no montanhismo. Fiz a minha formação e tenho amigos.
11/08/2023 18:25:43	37	Duas vezes ou mais por mês	Eu frequento 	Entre 5 e 10 anos	No CEG	Escalada urbana	Guia de forma independente	Guia de forma independente	Curso avançado de escalada ou caminhada	4	2	Clube família 
11/08/2023 18:32:27	45	Menos de 1 vez por mês	Trabalho	Entre 2 e 5 anos	No CEG	Escalada urbana	Só participa	Só participa	Curso básico de montanhismo	1	1	Admiração pela história do clube 
11/08/2023 18:35:32	53	Uma vez por mês	Frequento 	Entre 2 e 5 anos	No CEG	Escalada urbana	Só participa	Só participa	Curso básico de montanhismo	1	1	Gosto do clube, das pessoas...me sinto bem no grupo como um todo!
11/08/2023 18:38:00	58	Menos de 1 vez por mês	Questões pessoais 	> 20 anos	No CEG	Trilhas moderadas	Não escala	Só participa	Curso avançado de escalada ou caminhada	0	0	Amigos
11/08/2023 18:54:07	47	Uma vez por semana 	Frequento	< 2 anos	Em outro clube	Trilhas moderadas	Só participa	Guia com apoio de pessoas mais experientes	Curso básico de escalada	1	5	Acolhimento e técnica
11/08/2023 18:54:46	40	Menos de 1 vez por mês	Trabalho, Compromissos no mesmo horário, Paternidade	Entre 5 e 10 anos	No CEG	Trilhas pesadas	Guia de forma independente	Guia de forma independente	Curso avançado de escalada ou caminhada	0	2	Ao conhecer o montanhismo, um amigo de outro clube indicou o CEG como o clube favorito dele. Não me arrependo desde então.
11/08/2023 18:59:23	34	Uma vez por mês	Moro longe	< 2 anos	No CEG	Escalada urbana e em áreas remotas 	Guia com apoio de pessoas mais experientes	Só participa	Curso básico de montanhismo	4	1	A minha formação no CEG foi por indicação e eu me identifiquei com o clube devido às pessoas que me formaram e o clima de harmonia e descontração, aliados a uma cervejinha gelada, e um bom bate-papo que rolam nas reuniões sociais e no último grampo. Além do mais, me sinto segura de fazer as atividades de Montanha com as pessoas do clube pela capacitação e seriedade de cada um dos guias. 
11/08/2023 19:03:10	62	Uma vez por mês	Familia	> 20 anos	No CEG	Todas as opções acima	Só participa	Só participa	Cursos básicos 	0	0	Não me imagino em outro clube
11/08/2023 19:15:07	49	Uma vez por mês	Trabalho	Entre 10 e 20 anos	No CEG	Trilhas pesadas	Guia com apoio de pessoas mais experientes	Guia com apoio de pessoas mais experientes	Guia certificado	0	1	Sou CEG desde CBM ate o Curso de Guia. Amo esse clube.
11/08/2023 19:18:32	41	Depende da época do ano, maior frequência em época de férias.	Moro longe, Trabalho	Entre 10 e 20 anos	Em outro clube	No momento, trilha leve por ter ficado afastada.	Não escala	Só participa	Curso básico de montanhismo	0	0	Descontração, amigos e clima familiar. Gostaria de fazer mais trilhas e excursões.
11/08/2023 19:25:43	58	Duas vezes ou mais por mês	Compromissos no mesmo horário	Entre 10 e 20 anos	No CEG	Escalada urbana	Guia de forma independente	Guia de forma independente	Curso avançado de escalada ou caminhada	3	3	Criei afinidade com o clube/frequentadores. 
11/08/2023 19:29:30	59	Menos de 1 vez por mês	Viajo demais	Entre 2 e 5 anos	Não fiz CBM	Aventuras	Guia com apoio de pessoas mais experientes	Guia de forma independente	Experiência prática 	12	3	Acolhimento
11/08/2023 20:10:26	70	Sempre	Não vendem mais Heineken	> 20 anos	Não fiz CBM	Em todos os lugares	Guia de forma independente	Guia de forma independente	Guia certificado	1	2	Encontro de amigos
11/08/2023 20:13:12	38	Não frequento há mais de 6 meses	Trabalho	Entre 2 e 5 anos	No CEG	Escalada em áreas remotas	Guia de forma independente	Guia de forma independente	Curso básico de escalada	2	2	
11/08/2023 20:16:32	60	Não frequento há mais de 6 meses	Moro longe, Trabalho	> 20 anos	Em outro clube	Escalada em áreas remotas	Guia de forma independente	Guia de forma independente	Guia certificado	4	4	A empatia 
